SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
AISSMARTLogin,00:7e:95:c4:fa:66,-84,52,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
@JumboPlus5GHz,00:7e:95:cb:65:4e,-87,52,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
@JumboPlusIoT,00:7e:95:cb:65:4c,-88,52,Y,TH,RSN(PSK/AES/AES),99.65824915824896,550.1666666666667
.@TrueMoveH,00:7e:95:cb:65:47,-87,52,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
AISSMARTLogin,00:7e:95:cb:65:46,-87,52,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
CPE-Staff,00:b0:e1:98:f1:af,-87,132,Y,TH,NONE,99.65824915824896,550.1666666666667
CPE-WiFi,00:b0:e1:98:f1:ae,-88,132,Y,TH,NONE,99.65824915824896,550.1666666666667
CPE-Staff,00:a2:89:03:36:ef,-88,120,Y,TH,NONE,99.65824915824896,550.1666666666667
CPE-WiFi,00:a2:89:03:36:ee,-87,120,Y,TH,NONE,99.65824915824896,550.1666666666667
@TOT_Wi-Fi,00:7e:95:cb:65:47,-73,11,Y,TH,NONE,99.65824915824896,550.1666666666667
CPE-WiFi,00:3c:10:75:b2:41,-56,11,Y,TH,NONE,99.65824915824896,550.1666666666667
.@AISSUPERWiFi,00:7e:95:cb:65:46,-74,11,Y,TH,NONE,99.65824915824896,550.1666666666667
.@TRUEWIFI,00:7e:95:cb:65:45,-74,11,Y,TH,NONE,99.65824915824896,550.1666666666667
@JumboPlusIoT,00:7e:95:cb:65:43,-73,11,Y,TH,RSN(PSK/AES/AES),99.65824915824896,550.1666666666667
CPE-Staff,00:3c:10:75:b2:40,-55,11,Y,TH,NONE,99.65824915824896,550.1666666666667
@JumboPlus,00:7e:95:cb:65:40,-73,11,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
@TOT_Wi-Fi,00:b6:70:59:9f:07,-71,6,Y,TH,NONE,99.65824915824896,550.1666666666667
.@AISSUPERWiFi,00:7e:95:c5:26:66,-73,6,Y,TH,NONE,99.65824915824896,550.1666666666667
@JumboPlusIoT,00:b6:70:5e:a5:a3,-67,6,Y,TH,RSN(PSK/AES/AES),99.65824915824896,550.1666666666667
@JumboPlusIoT,00:7e:95:c5:26:63,-73,6,Y,TH,RSN(PSK/AES/AES),99.65824915824896,550.1666666666667
.@AISSUPERWiFi,00:b6:70:59:9f:06,-71,6,Y,TH,NONE,99.65824915824896,550.1666666666667
@TOT_Wi-Fi,00:7e:95:c5:26:67,-72,6,Y,TH,NONE,99.65824915824896,550.1666666666667
@TOT_Wi-Fi,00:b6:70:5e:a5:a7,-68,6,Y,TH,NONE,99.65824915824896,550.1666666666667
.@AISSUPERWiFi,00:b6:70:5e:a5:a6,-67,6,Y,TH,NONE,99.65824915824896,550.1666666666667
.@TRUEWIFI,00:b6:70:5e:a5:a5,-67,6,Y,TH,NONE,99.65824915824896,550.1666666666667
.@TRUEWIFI,00:b6:70:59:9f:05,-72,6,Y,TH,NONE,99.65824915824896,550.1666666666667
@JumboPlusIoT,00:b6:70:59:9f:03,-71,6,Y,TH,RSN(PSK/AES/AES),99.65824915824896,550.1666666666667
DIRECT-EA-HP,16:cb:19:9a:02:ea,-76,6,Y,--,RSN(PSK/AES/AES),99.65824915824896,550.1666666666667
@JumboPlus,00:b6:70:59:9f:00,-72,6,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
ESP-5EAC73,de:4f:22:5e:ac:73,-76,6,N,TH,NONE,99.65824915824896,550.1666666666667
@JumboPlusIoT,00:7e:95:c5:3b:03,-54,1,Y,TH,RSN(PSK/AES/AES),99.65824915824896,550.1666666666667
CPE-WiFi,00:b0:e1:98:f1:a1,-78,1,Y,TH,NONE,99.65824915824896,550.1666666666667
CPE-Staff,00:b0:e1:98:f1:a0,-77,1,Y,TH,NONE,99.65824915824896,550.1666666666667
@JumboPlus,00:7e:95:c5:3b:00,-54,1,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
CPE-WiFi,00:3c:10:75:b2:4e,-70,40,Y,TH,NONE,99.65824915824896,550.1666666666667
CPE-Staff,00:3c:10:75:b2:4f,-70,40,Y,TH,NONE,99.65824915824896,550.1666666666667
AISSMARTLogin,00:7e:95:c5:3b:06,-53,149,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
.@TrueMoveH,00:7e:95:c5:3b:07,-52,149,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
@TOT_Wi-Fi,00:7e:95:c5:3b:08,-53,149,Y,TH,NONE,99.65824915824896,550.1666666666667
@JumboPlusIoT,00:7e:95:c5:3b:0c,-52,149,Y,TH,RSN(PSK/AES/AES),99.65824915824896,550.1666666666667
eduroam,00:7e:95:c5:3b:0d,-53,149,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
@JumboPlus5GHz,00:7e:95:c5:3b:0e,-52,149,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
AISSMARTLogin,00:7e:95:c9:f9:06,-81,100,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
.@TrueMoveH,00:7e:95:c9:f9:07,-82,100,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
@TOT_Wi-Fi,00:7e:95:c9:f9:08,-81,100,Y,TH,NONE,99.65824915824896,550.1666666666667
@JumboPlusIoT,00:7e:95:c9:f9:0c,-82,100,Y,TH,RSN(PSK/AES/AES),99.65824915824896,550.1666666666667
eduroam,00:7e:95:c9:f9:0d,-81,100,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
@JumboPlus5GHz,00:7e:95:c9:f9:0e,-82,100,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
AISSMARTLogin,00:b6:70:5e:a5:a6,-76,100,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
.@TrueMoveH,00:b6:70:5e:a5:a7,-76,100,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
@TOT_Wi-Fi,00:b6:70:5e:a5:a8,-76,100,Y,TH,NONE,99.65824915824896,550.1666666666667
@JumboPlusIoT,00:b6:70:5e:a5:ac,-76,100,Y,TH,RSN(PSK/AES/AES),99.65824915824896,550.1666666666667
eduroam,00:b6:70:5e:a5:ad,-76,100,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
AISSMARTLogin,00:b6:70:59:9f:06,-73,100,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
.@TrueMoveH,00:b6:70:59:9f:07,-73,100,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
@TOT_Wi-Fi,00:b6:70:59:9f:08,-73,100,Y,TH,NONE,99.65824915824896,550.1666666666667
@JumboPlusIoT,00:b6:70:59:9f:0c,-73,100,Y,TH,RSN(PSK/AES/AES),99.65824915824896,550.1666666666667
eduroam,00:b6:70:59:9f:0d,-72,100,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
@JumboPlus5GHz,00:b6:70:5e:a5:ae,-76,100,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
@JumboPlus5GHz,00:b6:70:59:9f:0e,-73,100,Y,TH,RSN(802.1x/AES/AES),99.65824915824896,550.1666666666667
