SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@JumboPlusIoT,04:5f:b9:e5:74:a3,-63,1,Y,TH,RSN(PSK/AES/AES),572.572298325723,1504.800836150151
@TOT_Wi-Fi,04:5f:b9:e5:8b:27,-73,1,Y,TH,NONE,572.572298325723,1504.800836150151
@JumboPlus,04:5f:b9:e5:74:a0,-62,1,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@JumboPlusIoT,04:5f:b9:e5:8b:23,-73,1,Y,TH,RSN(PSK/AES/AES),572.572298325723,1504.800836150151
@JumboPlus,04:5f:b9:e5:5b:00,-55,11,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
.@TRUEWIFI,04:5f:b9:e5:93:e5,-55,11,Y,TH,NONE,572.572298325723,1504.800836150151
@JumboPlusIoT,04:5f:b9:e5:93:e3,-55,11,Y,TH,RSN(PSK/AES/AES),572.572298325723,1504.800836150151
@JumboPlus,04:5f:b9:e5:93:e0,-55,11,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@TOT_Wi-Fi,04:5f:b9:e5:80:87,-57,11,Y,TH,NONE,572.572298325723,1504.800836150151
.@AISSUPERWiFi,04:5f:b9:e5:80:86,-57,11,Y,TH,NONE,572.572298325723,1504.800836150151
.@TRUEWIFI,04:5f:b9:e5:80:85,-57,11,Y,TH,NONE,572.572298325723,1504.800836150151
@JumboPlusIoT,04:5f:b9:e5:80:83,-57,11,Y,TH,RSN(PSK/AES/AES),572.572298325723,1504.800836150151
@JumboPlus,04:5f:b9:e5:80:80,-57,11,Y,TH,RSN(802.1x/AES/AES),572.572298325723,1504.800836150151
@TOT_Wi-Fi,04:5f:b9:e5:5b:07,-55,11,Y,TH,NONE,572.572298325723,1504.800836150151
.@AISSUPERWiFi,04:5f:b9:e5:5b:06,-55,11,Y,TH,NONE,572.572298325723,1504.800836150151
.@TRUEWIFI,04:5f:b9:e5:5b:05,-55,11,Y,TH,NONE,572.572298325723,1504.800836150151
\xe0\xb8\xa1\xe0\xb8\xb1\xe0\xb8\x87\xe0\xb8\x81\xe0\xb8\xa3,fa:d4:15:c7:d2:d8,-71,11,Y,TH,RSN(PSK/AES/AES),572.572298325723,1504.800836150151
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
CPE-WiFi,00:a2:89:03:36:ee,-91,140,Y,TH,NONE,744.3113224803366,1189.1528260471923
CPE-Staff,00:b0:e1:98:f1:af,-86,136,Y,TH,NONE,744.3113224803366,1189.1528260471923
CPE-WiFi,00:b0:e1:98:f1:ae,-86,136,Y,TH,NONE,744.3113224803366,1189.1528260471923
CPE-Staff,00:a2:89:03:3a:2f,-88,116,Y,TH,NONE,744.3113224803366,1189.1528260471923
CPE-WiFi,00:a2:89:03:3a:2e,-88,116,Y,TH,NONE,744.3113224803366,1189.1528260471923
CPE-WiFi,00:3c:10:75:b2:4e,-80,100,Y,TH,NONE,744.3113224803366,1189.1528260471923
CPE-Staff,00:3c:10:75:b2:4f,-80,100,Y,TH,NONE,744.3113224803366,1189.1528260471923
