Xcoordinate,Ycoordinate,BSSID_Sumarize,Max_lists
1869.2889758643182,464.6537686058232,00:b6:70,-43
1876.2232896479468,475.0552392812665,00:b6:70,-42
1886.62476032339,461.1866117140087,00:b6:70,-43
503.2291604894343,953.5228903516572,00:b6:70,-58
503.2291604894343,956.9900472434717,00:b6:70,-58
506.69631738124883,963.9243610271005,00:b6:70,-58
510.16347427306334,953.5228903516572,00:b6:70,-58
510.16347427306334,956.9900472434717,00:b6:70,-58
641.9154361620114,960.457204135286,00:b6:70,-58
648.8497499456402,1154.6179900768939,00:b6:70,-70
648.8497499456402,974.3258317025438,00:b6:70,-58
652.3169068374547,1154.6179900768939,00:b6:70,-76
655.7840637292692,1154.6179900768939,00:b6:70,-76
659.2512206210835,1154.6179900768939,00:b6:70,-66
666.1855344047125,1158.0851469687084,00:b6:70,-75
676.5870050801556,1158.0851469687084,00:b6:70,-74
683.5213188637846,1158.0851469687084,00:b6:70,-72
780.6017118345884,1147.683676293265,00:b6:70,-64
780.6017118345884,1151.1508331850796,00:b6:70,-61
839.5433789954337,1022.8660281879457,00:b6:70,-56
853.4120065626913,1029.8003419715747,00:b6:70,-56
853.4120065626913,1040.201812647018,00:b6:70,-57
853.4120065626913,1137.282205617822,00:b6:70,-58
856.8791634545058,956.9900472434717,00:b6:70,-59
856.8791634545058,963.9243610271005,00:b6:70,-59
856.8791634545058,967.391517918915,00:b6:70,-58
863.8134772381346,1043.6689695388322,00:b6:70,-54
943.5580857498663,1140.7493625096363,00:b6:70,-54
943.5580857498663,904.9826938662552,00:b6:70,-38
947.0252426416808,915.3841645416985,00:b6:70,-39
953.9595564253096,1036.7346557552034,00:b6:70,-38
957.4267133171242,898.0483800826264,00:b6:70,-35
964.361027100753,1036.7346557552034,00:b6:70,-40
967.8281839925675,804.4351440036369,00:b6:70,-56
971.2953408843817,797.5008302200081,00:b6:70,-57
978.2296546680105,790.5665164363793,00:b6:70,-51
985.1639684516396,783.6322026527503,00:b6:70,-52
985.1639684516396,794.0336733281936,00:b6:70,-52
992.0982822352684,794.0336733281936,00:b6:70,-53
999.0325960188972,481.9895530648953,00:b6:70,-68
