Xcoordinate,Ycoordinate,BSSID_Sumarize,Max_lists
1019.8355373697838,1265.5670106149555,00:b6:70,-50
1023.302694261598,485.4567099567096,00:b6:70,-66
1023.302694261598,589.4714167111424,00:b6:70,-59
1026.7698511534127,492.3910237403386,00:b6:70,-59
1026.7698511534127,596.4057304947712,00:b6:70,-53
1030.237008045227,485.4567099567096,00:b6:70,-61
1030.237008045227,495.8581806321529,00:b6:70,-59
1030.237008045227,589.4714167111424,00:b6:70,-64
1033.7041649370412,686.5518096819465,00:b6:70,-54
1037.171321828856,478.5223961730808,00:b6:70,-62
1037.171321828856,488.9238668485241,00:b6:70,-60
1040.6384787206703,495.8581806321529,00:b6:70,-61
1040.6384787206703,586.0042598193281,00:b6:70,-64
1040.6384787206703,690.0189665737607,00:b6:70,-53
1054.5071062879279,596.4057304947712,00:b6:70,-55
1061.4414200715569,603.3400442784002,00:b6:70,-54
1068.375733855186,1158.0851469687084,00:b6:70,-48
1075.3100476388145,384.90916009409125,00:b6:70,-62
1082.2443614224435,381.44200320227696,00:b6:70,-59
1085.7115183142578,388.37631698590576,00:b6:70,-69
1085.7115183142578,953.5228903516572,00:b6:70,-38
1089.178675206072,1078.3405384569764,00:b6:70,-46
1092.6458320978868,1078.3405384569764,00:b6:70,-55
1096.112988989701,832.1723991381523,00:b6:70,-52
1096.112988989701,950.0557334598427,00:b6:70,-45
1099.5801458815154,967.391517918915,00:b6:70,-44
1103.04730277333,842.5738698135956,00:b6:70,-51
1109.9816165569587,856.4424973808532,00:b6:70,-51
1113.4487734487734,953.5228903516572,00:b6:70,-39
1127.317401016031,953.5228903516572,00:b6:70,-38
1182.7919112850618,787.0993595445648,00:b6:70,-51
1186.259068176876,787.0993595445648,00:b6:70,-55
1193.1933819605051,776.6978888691215,00:b6:70,-58
1196.6605388523194,416.11357212042117,00:b6:70,-62
1200.1276957441337,419.58072901223545,00:b6:70,-61
1210.529166419577,423.04788590404996,00:b6:70,-61
1224.397793986835,419.58072901223545,00:b6:70,-66
1224.397793986835,429.98219968767876,00:b6:70,-57
1231.3321077704636,426.5150427958645,00:b6:70,-59
1238.2664215540926,1171.9537745359662,00:b6:70,-52
1245.2007353377212,419.58072901223545,00:b6:70,-63
1262.5365197967935,443.8508272549366,00:b6:70,-59
1269.4708335804225,769.7635750854927,00:b6:70,-67
1269.4708335804225,776.6978888691215,00:b6:70,-64
1300.675245606752,780.165045760936,00:b6:70,-59
1307.609559390381,776.6978888691215,00:b6:70,-60
1345.7482852003395,412.64641522860666,00:b6:70,-53
1359.6169127675976,429.98219968767876,00:b6:70,-55
1370.0183834430409,433.44935657949327,00:b6:70,-53
1380.4198541184837,1158.0851469687084,00:b6:70,-61
1383.8870110102985,426.5150427958645,00:b6:70,-58
1428.960050603886,776.6978888691215,00:b6:70,-66
1439.3615212793293,773.230731977307,00:b6:70,-68
1439.3615212793293,776.6978888691215,00:b6:70,-65
1456.6973057384012,787.0993595445648,00:b6:70,-66
1498.3031884401744,1175.4209314277805,00:b6:70,-72
1501.7703453319887,1355.7130898021308,00:b6:70,-85
1505.2375022238034,1178.888088319595,00:b6:70,-63
1505.2375022238034,1355.7130898021308,00:b6:70,-78
1508.7046591156177,1171.9537745359662,00:b6:70,-72
1512.1718160074324,1175.4209314277805,00:b6:70,-73
1512.1718160074324,1258.6326968313267,00:b6:70,-72
1512.1718160074324,1262.0998537231412,00:b6:70,-76
1512.1718160074324,1355.7130898021308,00:b6:70,-83
1515.6389728992467,1262.0998537231412,00:b6:70,-74
1515.6389728992467,1355.7130898021308,00:b6:70,-84
1519.106129791061,1262.0998537231412,00:b6:70,-74
1522.5732866828753,1258.6326968313267,00:b6:70,-78
1522.5732866828753,1362.6474035857595,00:b6:70,-84
1529.5076004665043,1251.698383047698,00:b6:70,-77
1529.5076004665043,1352.2459329103162,00:b6:70,-81
1529.5076004665043,1355.7130898021308,00:b6:70,-84
1532.9747573583186,1248.2312261558836,00:b6:70,-77
