SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
CPE-WiFi,00:3c:10:75:b2:41,-70,11,Y,TH,NONE,1557.24485560102,787.0993595445648
.@AISSUPERWiFi,04:5f:b9:e5:ce:46,-60,11,Y,TH,NONE,1557.24485560102,787.0993595445648
@TOT_Wi-Fi,00:b6:70:5e:8e:67,-63,11,Y,TH,NONE,1557.24485560102,787.0993595445648
.@AISSUPERWiFi,00:b6:70:5e:8e:66,-62,11,Y,TH,NONE,1557.24485560102,787.0993595445648
@JumboPlusIoT,00:b6:70:5e:8e:63,-63,11,Y,TH,RSN(PSK/AES/AES),1557.24485560102,787.0993595445648
@JumboPlus,00:b6:70:5e:8e:60,-63,11,Y,TH,RSN(802.1x/AES/AES),1557.24485560102,787.0993595445648
ESP-79F191,2e:f4:32:79:f1:91,-74,6,N,TH,NONE,1557.24485560102,787.0993595445648
ESP-7A4717,2e:f4:32:7a:47:17,-59,6,N,TH,NONE,1557.24485560102,787.0993595445648
CPE-Staff,00:a2:89:03:36:e0,-56,6,Y,TH,NONE,1557.24485560102,787.0993595445648
@TOT_Wi-Fi,00:7e:95:c7:ec:67,-52,1,Y,TH,NONE,1557.24485560102,787.0993595445648
ESP-5EAC73,de:4f:22:5e:ac:73,-73,1,N,TH,NONE,1557.24485560102,787.0993595445648
@TOT_Wi-Fi,00:7e:95:cb:38:87,-63,1,Y,TH,NONE,1557.24485560102,787.0993595445648
.@TRUEWIFI,00:7e:95:c7:f3:c5,-62,1,Y,TH,NONE,1557.24485560102,787.0993595445648
.@AISSUPERWiFi,00:7e:95:cb:38:86,-62,1,Y,TH,NONE,1557.24485560102,787.0993595445648
.@TRUEWIFI,00:7e:95:cb:38:85,-64,1,Y,TH,NONE,1557.24485560102,787.0993595445648
.@TRUEWIFI,00:7e:95:c7:ec:65,-52,1,Y,TH,NONE,1557.24485560102,787.0993595445648
