SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
s,u,m
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
@TOT_Wi-Fi,00:7e:95:c7:f0:a8,-79,157,Y,TH,NONE,133.58377896613183,588.8475935828877
eduroam,00:7e:95:c5:10:cd,-81,157,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlusIoT,00:7e:95:c7:f0:ac,-79,157,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,00:7e:95:c5:10:ce,-81,157,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
eduroam,00:7e:95:c7:f0:ad,-79,157,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,00:7e:95:c7:f0:ae,-79,157,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,00:7e:95:c5:10:26,-74,149,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,04:5f:b9:e5:1f:a6,-56,149,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
.@TrueMoveH,04:5f:b9:e5:1f:a7,-56,149,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
.@TrueMoveH,00:7e:95:c5:10:27,-73,149,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,00:b6:70:59:90:06,-74,149,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@TOT_Wi-Fi,04:5f:b9:e5:1f:a8,-56,149,Y,TH,NONE,133.58377896613183,588.8475935828877
@JumboPlusIoT,04:5f:b9:e5:1f:ac,-56,149,Y,TH,RSN(PSK/AES/AES),133.58377896613183,588.8475935828877
eduroam,04:5f:b9:e5:1f:ad,-56,149,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
@JumboPlus5GHz,04:5f:b9:e5:1f:ae,-56,149,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
AISSMARTLogin,00:7e:95:c9:7b:66,-73,48,Y,TH,RSN(802.1x/AES/AES),133.58377896613183,588.8475935828877
