SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
.@TRUEWIFI,00:7e:95:c9:79:05,-58,1,Y,TH,NONE,480.464349376114,27.35026737967928
.@TRUEWIFI,00:7e:95:c9:d3:25,-72,1,Y,TH,NONE,480.464349376114,27.35026737967928
@JumboPlusIoT,00:7e:95:c9:79:03,-58,1,Y,TH,RSN(PSK/AES/AES),480.464349376114,27.35026737967928
@TOT_Wi-Fi,00:7e:95:c5:2f:87,-76,1,Y,TH,NONE,480.464349376114,27.35026737967928
@JumboPlus,00:7e:95:c9:79:00,-58,1,Y,TH,RSN(802.1x/AES/AES),480.464349376114,27.35026737967928
@TOT_Wi-Fi,04:5f:b9:e5:a8:e7,-69,1,Y,TH,NONE,480.464349376114,27.35026737967928
@JumboPlus,00:7e:95:c9:d3:20,-72,1,Y,TH,RSN(802.1x/AES/AES),480.464349376114,27.35026737967928
@JumboPlusIoT,04:5f:b9:e5:a8:e3,-70,1,Y,TH,RSN(PSK/AES/AES),480.464349376114,27.35026737967928
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:11,-57,1,Y,TH,"RSN(PSK/TKIP,AES/TKIP)",480.464349376114,27.35026737967928
SSID,BSSID,RSSI,CHANNEL,HT,CC,SECURITY,Xcoordinate,Ycoordinate
.@TrueMoveH,00:7e:95:c5:06:67,-83,100,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,00:7e:95:c5:06:66,-83,100,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,04:5f:b9:e5:d9:a6,-83,64,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
.@TrueMoveH,04:5f:b9:e5:d9:a7,-83,64,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlusIoT,00:7e:95:cb:87:ec,-82,64,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:cb:87:e8,-83,64,Y,TH,NONE,240.89215686274508,32.34135472370781
.@TrueMoveH,00:7e:95:cb:87:e7,-83,64,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,00:7e:95:cb:87:e6,-83,64,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
eduroam,00:7e:95:cb:87:ed,-83,64,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,00:7e:95:cb:87:ee,-83,64,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
Eng_Wi-Fi_Zone,64:d8:14:ef:e1:1e,-58,64,Y,TH,"RSN(PSK/TKIP,AES/TKIP)",240.89215686274508,32.34135472370781
Eng_Wi-Fi_30th,0c:d9:96:00:ef:dd,-89,64,Y,TH,"RSN(PSK/TKIP,AES/TKIP)",240.89215686274508,32.34135472370781
@JumboPlus,00:7e:95:c9:79:00,-67,1,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,00:7e:95:c5:04:a6,-78,52,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,00:b6:70:5f:15:06,-64,52,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
.@TrueMoveH,00:b6:70:5f:15:07,-63,52,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:b6:70:5f:15:08,-65,52,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,00:b6:70:5f:15:0c,-64,52,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
eduroam,00:b6:70:5f:15:0d,-65,52,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
.@TrueMoveH,00:7e:95:c5:04:a7,-77,52,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:7e:95:c5:04:a8,-78,52,Y,TH,NONE,240.89215686274508,32.34135472370781
@JumboPlusIoT,00:7e:95:c5:04:ac,-77,52,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,00:b6:70:5f:15:0e,-64,52,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
eduroam,00:7e:95:c5:04:ad,-77,52,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,00:7e:95:c5:04:ae,-77,52,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlus5GHz,00:b6:70:59:5d:ce,-66,52,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
eduroam,00:b6:70:59:5d:cd,-65,52,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
@JumboPlusIoT,00:b6:70:59:5d:cc,-65,52,Y,TH,RSN(PSK/AES/AES),240.89215686274508,32.34135472370781
@TOT_Wi-Fi,00:b6:70:59:5d:c8,-66,52,Y,TH,NONE,240.89215686274508,32.34135472370781
.@TrueMoveH,00:b6:70:59:5d:c7,-66,52,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
AISSMARTLogin,00:b6:70:59:5d:c6,-66,52,Y,TH,RSN(802.1x/AES/AES),240.89215686274508,32.34135472370781
